Latitude,Longitude
51.47942,-0.293
60.8655,7.11743
60.3925,5.34701
60.86542,7.11769
60.86469,7.119
59.86933,10.71787
51.51996,-0.09318
59.86905,10.71736
60.39449,5.34263
51.51952,-0.09428
51.4619,-0.02903
51.50288,-0.20493
60.39477,5.34239
60.39358,5.34466
59.86895,10.71705
51.13253,1.34426
60.65419,6.44386
51.49312,-0.0971
